# Beatmap generated from 'BTS.mp3'
# Total notes: 339
92,2
3459,2
5712,1
10797,1
10797,2
12097,3
14140,0
15325,2
15905,1
15905,3
16509,1
16509,3
18483,3
18738,2
19481,0
20178,3
21199,3
21478,2
21478,3
21664,3
22221,3
24218,3
24961,2
25727,1
26702,1
27213,1
29210,3
29953,1
29953,2
31463,3
34620,1
34620,3
38196,0
38707,0
40704,0
41935,2
41935,3
42446,3
46230,2
46230,3
47206,0
47833,2
48436,1
49435,0
49435,3
49713,0
50712,0
50712,1
51223,3
51432,0
52198,2
53243,3
53614,1
53614,2
53823,1
53823,2
55960,1
55960,3
56215,0
56703,2
56703,3
56981,1
57446,3
59187,2
59953,1
60441,0
62159,0
62159,3
63204,0
63204,3
63460,1
63460,2
63692,1
64179,2
64714,0
65433,0
65596,2
65596,3
65712,2
66966,3
67082,0
67941,2
68940,1
69427,1
69427,2
70820,1
71099,2
72353,1
72353,2
72933,0
73328,2
73328,3
74327,0
75952,0
75952,3
76811,1
76950,0
76950,1
77717,0
79458,0
79458,3
80457,0
80457,3
80967,1
83684,1
83684,2
84172,0
84172,3
85472,1
85983,1
87632,2
88212,3
88328,1
88328,2
89420,3
89675,1
90557,2
91184,1
91184,3
91440,1
91440,3
92160,2
92160,3
92438,1
93947,1
94319,2
95108,1
95689,3
95921,3
96478,0
97477,3
97964,0
100588,1
101703,0
102446,0
103073,2
103189,2
103677,1
103677,2
103932,0
104814,2
104930,3
105418,2
106718,0
107206,1
107438,3
109435,2
109691,0
109691,3
110712,1
110712,2
110805,2
111432,1
111687,2
112825,3
113429,3
114915,1
115519,3
116215,3
116308,2
116587,0
116587,3
116935,3
117167,2
117167,3
118723,2
118932,0
119350,1
119350,3
119698,1
119698,3
121719,1
121719,2
122462,0
123321,2
124319,0
125225,1
125689,3
125852,0
125968,0
130449,0
130983,1
131959,0
131959,2
132330,1
132330,2
133932,1
133932,3
134466,0
135349,3
135813,0
135813,3
137462,0
137462,2
138924,3
141154,3
142709,2
142709,3
143615,2
144172,2
144474,0
147725,2
151974,1
152346,0
153692,1
153692,3
154830,2
155968,1
156339,2
158151,2
158847,0
158847,3
159985,1
162423,0
162934,3
163189,2
163979,1
163979,2
164211,3
164443,0
164443,1
165070,2
165465,2
166672,2
167949,1
168228,0
168228,2
169482,2
171641,0
172663,3
172802,0
173429,3
174172,0
174683,1
174683,3
176425,1
176819,2
176959,3
177655,3
177934,0
179211,1
179699,0
179699,2
179977,3
181069,1
182230,2
183089,0
183205,1
183437,1
183437,2
184807,0
184946,2
186340,1
186711,0
186711,2
187083,1
187083,2
187199,0
188708,2
190333,1
190333,2
191053,0
192957,3
193236,1
194722,2
195070,1
195442,2
195720,0
196858,0
198251,2
198716,2
200109,0
200109,1
200341,1
201061,0
201061,3
201688,0
201967,0
202152,3
202686,2
202686,3
202849,0
202849,3
204614,1
205032,2
206169,1
206169,3
208608,1
209072,0
209188,2
211185,0
211394,0
213066,1
213066,3
214343,3
216317,2
216456,3
217687,0
217687,2
218430,3
218569,0
218569,1
220961,0
223933,0
224165,0
224304,0
224954,1
225442,0
226440,2
228461,2
228693,3
229064,2
229459,0
229459,2
231201,3
232176,2
232315,0
232315,3
232826,2
232965,3
233476,1
233476,2
233941,3
234684,1
235868,0
236448,0
237447,3
238213,2
238329,2
239444,0
239676,2
239955,2
240814,3
240953,3
241069,1
241696,3
245365,2
245504,1
245504,3
